"Provider Number","Facility Name",City,State,"Zip Code","Certification Date","Medicare Census","Medicaid Census","Other Census","Total Residents","Program Participation Code","Hospital Based","Ownership Type","Multi-Facility Organization","Multi-Facility Organization Name","Number of AIDS Beds","Number of Alzheimer's Disease Beds","Number of Dialysis Beds","Number of Disabled Children/Young Adult Beds","Number of Head Trauma Beds","Number of Hospice Beds","Number of Huntington's Disease Beds","Number of Ventilator Beds","Number of Other Specialized Rehab Beds","Organized Residents' Group","Organized Family Member Group","Facility Conducts Experimental Research","Continuing Care Retirement Community (CCRC)","7 Day RN Waiver Date","7 Day RN Hrs Waived Per Week","24 Hr Licensed Nursing Waiver Date","24 Hr Licensed Nursing Hrs Waived Per Week","Nurse Aide Training and Competency Evaluation Program"
345279,"The Carrolton of Nash","Rocky Mount",NC,27804,2024-10-24,14,91,16,121,"SNF/NF Dual Certification",No,"For Profit - Partnership",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345280,"Autumn Care of Raeford",Raeford,NC,28376,2024-10-18,4,79,44,127,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Autumn Corp Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345281,"Stanly Manor",Albemarle,NC,28001,2024-10-24,5,34,10,49,"SNF/NF Dual Certification",No,"Non-Profit - Other Nonprofit",Yes,"Atrium Health",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345282,"Cleveland Pines",Shelby,NC,28150,2024-07-18,10,76,15,101,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Atrium Health, AHSNF",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345283,"The Citadel Mooresville",Mooresville,NC,28115,2025-05-15,11,63,27,101,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345284,"The Oaks",Winston-Salem,NC,27103,2024-07-24,1,68,42,111,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
345285,"Orchard Valley Health and Rehabilitation",Hendersonville,NC,28791,2024-12-06,11,65,30,106,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Ascent Healthcare Management",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345288,"Compass Healthcare and Rehab Rowan, LLC",Spencer,NC,28159,2024-08-21,4,42,14,60,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345289,"Currituck Health & Rehab Center",Barco,NC,27917,2024-08-30,6,52,9,67,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Saber Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345291,"Oxford Health and Rehabilitation Center",Oxford,NC,27565,2024-07-03,20,104,35,159,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Medical Facilities of America",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345292,"Grantsbrook Nursing and Rehabilitation Center",Grantsboro,NC,28529,2025-05-12,12,59,6,77,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"River Neuse Group LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345293,"Richmond Pines Healthcare and Rehabilitation Center",Hamlet,NC,28345,2024-09-18,0,16,0,16,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,PrincipleLTC,0,20,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
345294,"Autumn Care of Shallotte",Shallotte,NC,28459,2024-08-29,14,61,22,97,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Saber Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,2025-07-21,0,"",0,No
345296,"Margate Health and Rehab Center",Jefferson,NC,28640,2024-11-20,16,84,39,139,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345297,"Scotia Village - SNF",Laurinburg,NC,28352,2024-11-07,3,26,27,56,"SNF/NF - Medicare/Medicaid",No,"Non-Profit - Nonprofit Corporation",Yes,Kintura,0,10,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
345298,"The Laurels of Pender",Burgaw,NC,28425,2024-09-20,19,63,0,82,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"laurel health care holdings",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345301,"White Oak Manor - Burlington",Burlington,NC,27217,2024-08-01,1,72,41,114,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"National Healthcare Corp",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345302,"Vero Health & Rehab of Sylva",Sylva,NC,28779,2024-07-30,4,64,12,80,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345303,"The Laurels Of Greentree Ridge",Asheville,NC,28803,2025-05-07,13,43,25,81,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Laurel Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345304,"Accordius Health at Midwood, LLC",Charlotte,NC,28205,2024-05-07,2,61,1,64,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345305,"Smoky Ridge Health and Rehabilitation",Burnsville,NC,28714,2025-03-20,7,82,6,95,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"BrightonHealthcare LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345306,"IREDELL MEMORIAL HOSPITAL INC",STATESVILLE,NC,28677,2025-01-09,28,5,0,33,"SNF/NF Dual Certification",Yes,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345307,"Juniper Gardens Center for Nursing and Rehabilitation",Gastonia,NC,28056,2024-08-27,7,19,19,45,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Alliance Health Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345309,"Liberty Commons Nursing and Rehabilitation Center of Halifax County",Weldon,NC,27890,2024-10-09,8,32,5,45,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Liberty Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345310,"Piedmont Crossing",Thomasville,NC,27360,2025-02-14,104,0,0,104,"SNF/NF Distinct Part",No,"Non-Profit - Nonprofit Corporation",Yes,EveryAge,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,Yes
345311,"Roxboro Healthcare & Rehab Center",Roxboro,NC,27573,2024-08-15,6,54,33,93,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345312,"The Greens at Hendersonville",Hendersonville,NC,28791,2024-11-01,7,76,22,105,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,CCH,0,0,0,0,0,0,0,0,2,Yes,No,No,No,"",0,"",0,No
345313,"Northampton Nursing and Rehabilitation Center",Jackson,NC,27845,2025-01-24,7,61,11,79,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Principle, LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345314,"Fair Haven of Forest City, LLC","Forest City",NC,28043,2025-02-13,12,56,22,90,"SNF/NF Dual Certification",No,"For Profit - Partnership",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345315,"The Carrolton of Lumberton",Lumberton,NC,28358,2024-11-21,9,70,5,84,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345316,"Senior Citizens Home",Henderson,NC,27537,2024-12-05,4,28,17,49,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Maximus Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345317,"Clayton Rehabilitation and Healthcare Center",Clayton,NC,27520,2024-11-27,8,52,26,86,"SNF/NF Distinct Part",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345318,"Brunswick Cove Nursing Center",Winnabow,NC,28479,2024-07-25,17,86,26,129,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Hedgehog Healthcare Associates",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345319,"Elderberry Health Care",Marshall,NC,28753,2024-08-28,7,55,13,75,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Wilkinson Care Center, Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345321,"Kerr Lake Nursing and Rehabilitation Center",HENDERSON,NC,27536,2024-11-06,24,40,3,67,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Principle LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345322,"The Laurels of Hendersonville",Hendersonville,NC,28792,2025-03-20,0,100,20,120,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Ciena Healthcare Management",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345323,"Wallace Rehabilitation and Healthcare Center",Wallace,NC,28466,2025-02-27,8,54,15,77,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Yad Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345325,"The Carrolton of Dunn",Dunn,NC,28335,2024-10-08,10,65,15,90,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Carrolton Facility Management",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345326,"Willowbrooke Court SC Ctr at Matthews Glen",Matthews,NC,28105,2024-05-30,5,0,3,8,"Skilled Nursing Facility (SNF) - Medicare Participation",No,"Non-Profit - Nonprofit Corporation",Yes,"Acts Retirement Life Communities",0,15,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
345328,"Givens Health Center",ASHEVILLE,NC,28803,2025-02-06,15,5,38,58,"SNF/NF Distinct Part",No,"Non-Profit - Nonprofit Corporation",Yes,"Givens Communities Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,Yes
345329,"Hibriten Mountain Nursing and Rehabilitation",Lenoir,NC,28645,2024-12-17,1,62,11,74,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Lavie Care Center",0,33,2,0,0,4,1,0,34,Yes,No,No,No,"",0,"",0,Yes
345330,"The Graybrier Nursing and Retirement Center",Trinity,NC,27370,2024-10-17,8,58,31,97,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345331,"Sardis Oaks",Charlotte,NC,28270,2024-09-27,10,46,32,88,"SNF/NF - Medicare/Medicaid",No,"Non-Profit - Other Nonprofit",Yes,"Charlotte/Mecklenburg Hospital Authority (Atrium Health)",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345332,"Wilson Healthcare and Rehabilitation Center",Wilson,NC,27893,2025-01-13,6,58,26,90,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Yad Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345333,"Abbotts Creek Center",Lexington,NC,27295,2024-09-27,4,30,25,59,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,Genesis,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345335,"Franklin Oaks Nursing and Rehabilitation Center",Louisburg,NC,27549,2025-05-08,12,108,15,135,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Eagle Peak LTC",0,0,0,0,0,0,0,0,35,Yes,No,No,No,"",0,"",0,No
345336,"Signature Healthcare of Roanoke Rapids","Roanoke Rapids",NC,27870,2025-01-08,11,50,19,80,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Signature Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345337,"Peak Resources - Alamance, Inc",Graham,NC,27253,2024-10-31,7,66,51,124,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Peak Resources",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345339,"Windsor Rehabilitation and Healthcare Center",Windsor,NC,27983,2024-10-15,5,37,16,58,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Yad Healthcare",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
345340,"The Greens at Maple Leaf",Statesville,NC,28625,2024-05-15,10,62,16,88,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"CCH Healthcare",0,20,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345341,"Silver Bluff",Canton,NC,28716,2024-11-07,16,81,17,114,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Liberty Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345342,"Big Elm Retirement and Nursing Centers",Kannapolis,NC,28081,2024-07-11,8,38,7,53,"SNF/NF - Medicare/Medicaid",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345343,"Goldsboro Rehabilitation and Healthcare Center",Goldsboro,NC,27534,2024-09-06,33,77,14,124,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"YAD Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345344,"Camellia Gardens Center for Nursing and Rehab",Henderson,NC,27536,2024-08-29,4,42,16,62,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
345345,"Accordius Health at Monroe",Monroe,NC,28112,2025-04-10,2,36,0,38,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,11,2,0,3,2,0,0,0,Yes,No,No,No,"",0,"",0,No
345348,"Whispering Pines Nursing & Rehab Center",Fayetteville,NC,28301,2025-04-17,5,53,6,64,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345349,"Woodbury Wellness Center Inc",Hampstead,NC,28443,2024-07-24,13,68,21,102,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345350,"Courtland Terrace",Gastonia,NC,28054,2024-10-31,7,25,18,50,"SNF/NF Dual Certification",Yes,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345351,"Autumn Care of Saluda",Saluda,NC,28773,2025-02-14,7,72,7,86,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Saber Health Care Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345353,"Highland House Rehabilitation and Healthcare",Fayetteville,NC,28301,2024-12-19,0,56,8,64,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
345354,"Piney Grove Nursing and Rehabilitation Center",Kernersville,NC,27284,2024-10-14,18,61,8,87,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Principal LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345355,"Graham Healthcare and Rehabilitation Center",Robbinsville,NC,28771,2024-12-19,7,42,1,50,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Principle LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345356,"Rich Square Nursing & Rehabilitation Center","Rich Square",NC,27869,2024-06-06,5,39,11,55,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Maximus Healthcare Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345357,PruittHealth-Neuse,"New Bern",NC,28560,2024-09-11,22,57,10,89,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,PruittHealth,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345358,"Louisburg Healthcare & Rehabilitation Center",Louisburg,NC,27549,2025-03-06,5,44,35,84,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Liberty Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345359,"Ahoskie Health and Rehabilitation Center",Ahoskie,NC,27910,2024-09-26,2,86,22,110,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"August Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345362,"The Greens at Cabarrus",Concord,NC,28025,2024-05-23,22,41,8,71,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"CCH Healthcare",2,36,1,0,0,3,0,0,0,Yes,No,No,No,"",0,"",0,No
345363,"Compass Healthcare and Rehab Hawfields, Inc.",Mebane,NC,27302,2024-10-10,12,45,32,89,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Compass Healthcare and Rehab",0,0,12,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345365,"Signature Healthcare of Kinston",Kinston,NC,28501,2024-10-17,12,67,6,85,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Signature Healthcare LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345366,"Greendale Forest Nursing and Rehabilitation Center","Snow Hill",NC,28580,2025-03-27,16,79,5,100,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Principle Long Term Care",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345367,"Liberty Healthcare Services of Golden Years Nursing Center, LLC",FALCON,NC,28342,2024-08-29,2,35,13,50,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Liberty Health",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345369,"Rex Rehab & Nursing Care Center",Raleigh,NC,27607,2024-05-17,11,40,47,98,"SNF/NF - Medicare/Medicaid",Yes,"Government - Hospital District",Yes,"UNC Rex Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345370,"Pinehurst Healthcare & Rehabilitation Center",Pinehurst,NC,28374,2025-01-24,2,56,51,109,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Liberty Health",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
345371,PruittHealth-Trent,"New Bern",NC,28560,2025-02-27,13,69,29,111,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,Pruitthealth,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345372,"Wilson Pines Nursing and Rehabilitation Center",Wilson,NC,27893,2025-04-10,18,66,10,94,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Principle Ltc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345373,"Liberty Commons Nursing & Rehab Center of Southport LLC",Southport,NC,28461,2025-05-01,5,27,25,57,"SNF/NF Distinct Part",No,"For Profit - LLC",Yes,"Liberty Health",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345375,"Scotland Manor Health and Rehabilitation Center","Scotland Neck",NC,27874,2024-09-11,1,40,14,55,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345376,"The Carrolton of Fayetteville",Fayetteville,NC,28306,2024-06-14,2,73,43,118,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345377,"East Carolina Rehab and Wellness",Greenville,NC,27834,2024-12-19,11,53,9,73,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Hedgehog Healthcare Associates",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345378,PruittHealth-Rockingham,Rockingham,NC,28379,2025-02-24,3,62,4,69,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345380,"Village Green Health and Rehabilitation",Fayetteville,NC,28304,2025-02-20,45,37,24,106,"SNF/NF Distinct Part",No,"For Profit - LLC",Yes,"Sanstone Health and Rehab",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345381,"Village Care of King",King,NC,27021,2024-10-10,7,50,17,74,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Saber Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345383,"Scottish Pines Rehabilitation and Nursing Center",Laurinburg,NC,28352,2024-10-24,19,80,10,109,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Century Care Management",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
345384,PruittHealth-Farmville,Farmville,NC,27828,2024-08-08,2,38,10,50,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Pruitt Health",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345385,"Cardinal Healthcare and Rehabilitation",Lincolnton,NC,28092,2025-05-08,11,34,17,62,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,Synergy,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345386,"WILKES REGIONAL MEDICAL CTR SN","NORTH WILKESBORO",NC,28659,2025-04-23,2,1,5,8,"SNF/NF Dual Certification",Yes,"Non-Profit - Other Nonprofit",No,"",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
345388,"Crown Haven Health and Rehabilitation",Charlotte,NC,28213,2024-02-12,1,84,0,85,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345389,"The Laurels of Forest Glenn",Garner,NC,27529,2025-05-12,6,79,20,105,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Laurels Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345390,Countryside,Stokesdale,NC,27357,2025-05-02,8,32,14,54,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
345391,"Heartland Living & Rehab at the Moses H Cone Memorial Hospital",Greensboro,NC,27401,2025-02-26,0,52,27,79,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Century Care Management",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345392,"Wadesboro Health & Rehab Center",Wadesboro,NC,28170,2025-05-07,4,48,2,54,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Saber Healthcare Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345393,"Pisgah Manor Health Care Center",Candler,NC,28715,2025-04-01,12,54,38,104,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Liberty Health",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,Yes
345394,"Brook Stone Living Center",Pollocksville,NC,28573,2025-06-04,6,38,14,58,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Hedgehog Healthcare Associates",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345395,"Peak Resources-Cherryville",Cherryville,NC,28021,2025-06-05,18,32,10,60,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Peak Resources Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345396,"Smoky Mountain Health and Rehabilitation Center",Waynesville,NC,28785,2025-02-05,11,25,5,41,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Principle LTC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345397,"Shoreland Health Care and Retirement Center Inc",Whiteville,NC,28472,2024-12-19,11,50,21,82,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Liberty Health and Rehab",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345400,"Skyland Care Center",Sylva,NC,28779,2024-11-21,9,57,23,89,"SNF/NF Distinct Part",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
345401,"Wilkesboro Health and Rehabilitation","North Wilkesboro",NC,28659,2024-09-11,11,60,25,96,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,Sanstone,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345403,"Highfield Nursing and Rehabilitation",Cary,NC,27518,2024-11-22,25,49,23,97,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Consulate Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345404,"Three Rivers Health and Rehabilitation Center",Windsor,NC,27983,2024-11-01,12,26,14,52,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Liberty Health",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345405,"Charlotte Health & Rehabilitation Center",Charlotte,NC,28214,2024-10-23,10,59,18,87,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Medical Facilities of America",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345406,"Gates Health and Rehabilitation Center",Gatesville,NC,27938,2024-08-14,3,40,8,51,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345408,"Southpoint Rehabilitation and Healthcare Center",Durham,NC,27713,2025-04-10,23,73,37,133,"SNF/NF Distinct Part",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345409,"Pembroke Center",Pembroke,NC,28372,2024-11-20,2,58,12,72,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Genesis Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345410,"Central Continuing Care","Mount Airy",NC,27030,2024-08-07,4,49,33,86,"SNF/NF - Medicare/Medicaid",No,"For Profit - Partnership",No,"",0,37,0,0,0,11,0,19,0,Yes,No,No,No,"",0,"",0,No
345411,"Skyland Terrace and Rehabilitation",Waynesville,NC,28786,2024-12-06,11,59,9,79,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Colgate Inc",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
345412,"Brantwood Nh & Retirement Center",OXFORD,NC,27565,2024-12-18,6,34,2,42,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
345413,"Fleshers Fairview Health Care",Fairview,NC,28730,2024-09-06,6,40,7,53,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
